,type,name,length_km,toll,lat,lon,arg_min,volume
50743,Secondary Highway,219,163,0,"[37.39694223938766 37.39544718717527 37.40292244823724 37.425348231423136
 37.4343185446975 37.4582393800958 37.47767505885691 37.47767505885691
 37.48664537213127 37.49412063319323 37.524021677441105 37.52701178186589
 37.54644746062701 37.54644746062701 37.57335840045008 37.5703682960253
 37.619705019034285 37.65558627213172 37.66605163761848 37.683992264167195
 37.692962577441556 37.703427942928315 37.73033888275139 37.73930919602575
 37.74827950930011 37.74379435266293 37.76771518806123 37.797616232309096
 37.82303211991978 37.86638863407919 37.884329260627915 37.90077483496424
 37.90825009602621 37.9321709314245 37.95011155797322 37.977022497796305
 37.99197301992024 37.99944828098221 38.01888395974332 38.03831963850443
 38.05028005620358 38.066725630539906 38.08915141372581 38.10410193584974
 38.11755740576128 38.11905245797367 38.132507927885214 38.160913919920695
 38.165399076557875 38.18034959868181 38.19679517301813 38.19978527744292
 38.238656634965146 38.24762694823951 38.2715477836378 38.28201314912456
 38.30742903673524 38.323874611071574 38.338825133195506 38.3627459685938
 38.37321133408055 38.39264701284167 38.416567848239964 38.418062900452355
 38.415072796027566 38.421053004877145 38.44347878806305 38.45842931018698
 None]","[-80.80191104302565 -80.78247536426454 -80.76453473771582
 -80.73014853683077 -80.70622770143248 -80.66287118727307
 -80.65988108284829 -80.6329701430252 -80.6090493076269 -80.60605920320212
 -80.61652456868887 -80.60456415098973 -80.59110868107818
 -80.57615815895426 -80.56868289789229 -80.55821753240554
 -80.52532638373287 -80.49243523506023 -80.47000945187432
 -80.46402924302475 -80.44160345983884 -80.43861335541406
 -80.44608861647603 -80.44010840762645 -80.4550589297504
 -80.46103913859996 -80.46552429523715 -80.44907872090081
 -80.42216778107773 -80.41020736337859 -80.41469252001576
 -80.40422715452901 -80.3847914757679 -80.38628652798029
 -80.37582116249354 -80.38628652798029 -80.362365692582 -80.36535579700679
 -80.35339537930764 -80.32349433505976 -80.31452402178542
 -80.29060318638712 -80.27714771647557 -80.27565266426318
 -80.25771203771446 -80.24126646337814 -80.21734562797984
 -80.17398911382043 -80.14558312178495 -80.1351177562982
 -80.13362270408581 -80.1141870253247 -80.08727608550161
 -80.09624639877597 -80.09176124213879 -80.10521671205034
 -80.09475134656358 -80.09774145098837 -80.0902661899264
 -80.09774145098837 -80.12166228638667 -80.12913754744862
 -80.12166228638667 -80.10073155541315 -80.07980082443964
 -80.0439195713422 -80.03793936249264 -80.02896904921828 None]",1702.0,3267.448275862069
50744,Secondary Highway,219,48,0,"[38.45842931018698 38.488330354434844 38.492815511072024
 38.509261085408355 38.515241294257926 38.53019181638186
 38.585508748240414 38.592984009302384 38.603449374789136
 38.61690484470068 38.63634052346179 38.63933062788658 38.682687142045985
 38.685677246470775 38.72155849956822 38.7469743871789 38.770895222577195
 38.770895222577195 38.78435069248874 38.794816057975495 38.80677647567464
 38.82920225886054 38.84714288540926 None]","[-80.02896904921828 -80.04242451912981 -80.05438493682895 -80.046909675767
 -80.03793936249264 -80.04242451912981 -80.02747399700587
 -80.01850368373152 -80.01999873594391 -80.03644431028023
 -80.01850368373152 -80.00654326603237 -80.00654326603237
 -80.0005630571828 -79.97365211735972 -79.96169169966056
 -79.94076096868706 -79.92431539435073 -79.90786982001441
 -79.90188961116483 -79.88394898461611 -79.87348361912936
 -79.86899846249217 None]",1225.0,10141.125
50745,Secondary Highway,219,2,0,[38.9293707570909 38.950301488064405 None],[-79.85105783594345 -79.86002814921781 None],1225.0,10141.125
50746,Secondary Highway,220,112,0,"[39.313599175676 39.2911733924901 39.27323276594138 39.240341617268726
 39.223896042932395 39.20446036417128 39.18950984204735 39.16708405886145
 39.147648380100335 39.122232492489644 39.054955142931945
 39.03252935974604 39.00561841992296 38.99066789779903 38.98767779337424
 39.00262831549818 38.99216295001142 38.98319263673706 38.968242114613126
 38.962261905763555 38.94432127921483 38.90993507832979 38.891994451781066
 38.8845191907191 38.84415278098447 38.83667751992251 38.7933210057631
 38.74398428275412 38.71258818629386 38.706607977444285 38.67521188098402
 38.66773661992205 38.64531083673615 38.61839989691307 38.603449374789136
 38.603449374789136 38.592984009302384 38.58401369602802 38.56906317390409
 38.54962749514298 38.53916212965622 38.510756137620746 38.49580561549681
 None]","[-78.86282832355143 -78.88674915894971 -78.9136600987728
 -78.92263041204716 -78.91814525540998 -78.9345908297463 -78.9345908297463
 -78.94057103859588 -78.95253145629502 -78.95253145629502
 -78.97047208284374 -78.99588797045443 -79.00186817930401
 -79.01681870142794 -79.02877911912708 -79.07961089434846
 -79.12446246072027 -79.12446246072027 -79.14389813948138
 -79.15735360939291 -79.16333381824249 -79.18575960142839
 -79.20220517576472 -79.20370022797711 -79.23659137664977
 -79.24855179434891 -79.28293799523397 -79.28891820408354
 -79.30835388284466 -79.30386872620747 -79.33227471824294
 -79.32778956160577 -79.33077966603055 -79.3442351359421
 -79.36367081470321 -79.37413618018996 -79.3905817545263
 -79.41300753771219 -79.42197785098655 -79.44589868638485
 -79.45038384302202 -79.48776014833186 -79.49822551381861 None]",1225.0,10141.125
50747,Secondary Highway,220,10,0,"[39.44516377036662 39.42572809160551 39.394331995145244 39.38984683850806
 39.37190621195934 39.36293589868498 None]","[-78.97346218726854 -78.99439291824204 -79.01233354479076
 -79.0048582837288 -79.00934344036597 -79.0048582837288 None]",1225.0,10141.125
50748,Secondary Highway,250,46,0,"[38.71258818629386 38.681192089833594 38.67521188098402 38.65876630664769
 38.66026135886009 38.62886526239983 38.62288505355025 38.62886526239983
 38.60793453142632 38.589993904877595 38.5660730694793 38.55859780841734
 38.5451423385058 38.54813244293058 38.53766707744383 38.55411265178016
 38.54065718186862 38.5212215031075 38.492815511072024 38.4748748845233
 None]","[-79.97963232620928 -79.97066201293492 -79.9527213863862
 -79.93328570762509 -79.92282034213834 -79.92132528992595
 -79.89142424567808 -79.87497867134175 -79.864513305855 -79.8435825748815
 -79.84208752266909 -79.83012710496995 -79.82863205275756
 -79.80471121735926 -79.77481017311139 -79.73743386780156
 -79.72397839789002 -79.7269685023148 -79.70155261470411
 -79.69856251027933 None]",1225.0,10141.125
50749,Secondary Highway,250,27,0,"[38.950301488064405 38.960766853551156 38.98917284558664 39.01757883762211
 39.02804420310886 39.03551946417083 39.056450195144336 39.08037103054263
 39.09831165709135 39.12821270133922 39.13718301461358 39.152133536737516
 None]","[-79.96468180408536 -79.96916696072253 -79.93777086426228
 -79.93926591647467 -79.93328570762509 -79.955711490811 -79.96468180408536
 -79.98710758727125 -79.99458284833322 -79.997572952758 -80.02448389258109
 -80.04541462355459 None]",1225.0,10141.125
50750,Secondary Highway,250,43,0,"[39.7217484296594 39.74118410842051 39.74566926505769 39.756134630544445
 39.772580204880775 39.784540622579925 39.80098619691625 39.81892682346497
 39.82640208452694 39.847332815500444 39.87125365089874 39.869758598686346
 39.89068932965986 39.902649747359 39.91760026948293 39.93404584381926
 39.947501313730804 39.94152110488123 39.93255079160687 39.9250755305449
 39.93105573939447 None]","[-80.53429669700724 -80.55223732355596 -80.56419774125511
 -80.55821753240554 -80.56419774125511 -80.55672248019314
 -80.55672248019314 -80.5417719580692 -80.5656927934675 -80.55672248019314
 -80.55821753240554 -80.57466310674187 -80.60007899435254
 -80.60157404656495 -80.6344651952376 -80.64493056072435
 -80.66137613506068 -80.68380191824657 -80.73014853683077
 -80.73762379789274 -80.75257432001668 None]",5064.0,7779.0
50751,Secondary Highway,250,62,0,"[39.7217484296594 39.71128306417265 39.70380780311068 39.696332542048715
 39.691847385411535 39.67390675886281 39.66493644558845 39.64849087125212
 39.62756014027862 39.61559972257947 39.600649200455535 39.570748156207664
 39.55579763408373 39.54981742523416 39.52739164204826 39.52589658983587
 39.51094606771193 39.504965858862356 39.512441119924326 39.50646091107475
 39.51094606771193 39.498985650012784 39.498985650012784
 39.491510388950815 39.495995545587995 39.48403512788885 39.45413408364098
 39.44665882257902 39.44067861372944 39.43021324824269 None]","[-80.53429669700724 -80.53728680143203 -80.5208412270957
 -80.51486101824612 -80.46253419081236 -80.4520688253256 -80.4311380943521
 -80.41768262444056 -80.42216778107773 -80.41469252001576
 -80.3847914757679 -80.35489043152003 -80.35489043152003
 -80.34592011824567 -80.34143496160848 -80.32947454390934
 -80.30555370851106 -80.28611802974993 -80.26070214213925
 -80.23379120231617 -80.22033573240462 -80.2053852102807
 -80.19043468815676 -80.18295942709479 -80.15754353948411
 -80.14558312178495 -80.16950395718325 -80.18295942709479
 -80.17847427045761 -80.18744458373197 None]",4017.0,6717.612903225807
50752,Secondary Highway,250,14,0,"[39.43021324824269 39.412272621693965 39.38685673408328 39.38835178629567
 39.37639136859652 39.36742105532216 39.35097548098584 39.344995272136266
 39.33004475001233 None]","[-80.18744458373197 -80.16950395718325 -80.1590385916965
 -80.14259301736017 -80.12614744302384 -80.13063259966103
 -80.12166228638667 -80.10970186868751 -80.10671176426273 None]",4017.0,6717.612903225807
50753,Secondary Highway,250,4,0,[39.333034854437116 39.321074436737966 39.310609071251214 None],[-80.07830577222725 -80.0678404067405 -80.04989978019178 None],1225.0,10141.125
50754,Secondary Highway,30,5,0,[40.61578965267065 40.599344078334326 40.591868817272356 None],[-80.55821753240554 -80.54476206249399 -80.51934617488331 None],296.0,17637.58064516129
50755,Secondary Highway,33,6,0,[38.9293707570909 38.91292518275457 38.91591528717936 None],[-79.85105783594345 -79.83610731381953 -79.80172111293447 None],1225.0,10141.125
50756,Secondary Highway,33,107,0,"[38.90844002611739 38.92040044381654 38.90544992169261 38.891994451781066
 38.89498455620585 38.8845191907191 38.874053825232345 38.87704392965713
 38.89647960841825 38.91143013054218 38.92189549602893 38.89348950399346
 38.88152908629431 38.868073616382766 38.8605983553208 38.84116267655969
 38.84265772877208 38.83518246771011 38.81425173673661 38.794816057975495
 38.776875431426774 38.75145954381608 38.70810302965668 38.702122820807105
 38.70810302965668 38.70511292523189 38.676706933196414 38.664746515497264
 38.65428115001051 38.65129104558573 38.65577620222291 38.64680588894855
 38.66624156770966 38.67222177655923 38.669231672134444 38.6572712544353
 38.66026135886009 38.64082568009897 38.6348454712494 38.62438010576265
 38.604944427001534 38.601954322576745 38.592984009302384
 38.57952853939084 None]","[-79.7030476669165 -79.66866146603147 -79.65072083948274
 -79.64623568284556 -79.62380989965966 -79.59988906426136
 -79.58942369877461 -79.57447317665067 -79.54905728904 -79.54158202797802
 -79.5236414014293 -79.46832446957075 -79.46981952178314
 -79.46084920850878 -79.43692837311049 -79.41749269434938
 -79.40852238107502 -79.37712628461475 -79.39207680673869
 -79.40254217222544 -79.42048279877416 -79.4339382686857
 -79.46682941735835 -79.4563640518716 -79.44440363417245
 -79.40104712001305 -79.39955206780066 -79.40553227665022
 -79.3875916501015 -79.366660919128 -79.33227471824294 -79.32928461381816
 -79.31283903948183 -79.2739676819596 -79.25453200319849
 -79.23659137664977 -79.21267054125147 -79.2291161155878
 -79.24257158549935 -79.24406663771174 -79.2081853846143
 -79.18725465364079 -79.17080907930446 -79.16781897487968 None]",1225.0,10141.125
50757,Secondary Highway,33,159,0,"[38.82023194558618 38.81724184116139 38.81126163231182 38.81724184116139
 38.81275668452421 38.82322205001097 38.81873689337379 38.82621215443575
 38.82023194558618 38.82471710222336 38.82172699779857 38.82471710222336
 38.82172699779857 38.82770720664815 38.82621215443575 38.81126163231182
 38.791825953550706 38.782855640276345 38.7933210057631 38.790330901338315
 38.799301214612676 38.803786371249856 38.791825953550706 38.7933210057631
 38.785845744701135 38.80229131903746 38.787340796913526
 38.790330901338315 38.78883584912592 38.7933210057631 38.78883584912592
 38.791825953550706 38.80079626682507 38.80079626682507 38.80677647567464
 38.80677647567464 38.83966762434729 38.85013298983405 38.84564783319687
 38.85461814647123 38.85461814647123 38.84863793762165 38.85162804204644
 38.883024138506705 38.887509295143886 38.89797466063064 38.9293707570909
 38.93236086151568 38.94432127921483 38.960766853551156 38.95628169691398
 38.960766853551156 38.97272727125031 38.99216295001142 39.01010357656014
 39.01458873319732 39.03701451638322 39.038509568595614 39.03252935974604
 39.03551946417083 39.047479881869975 39.057945247356734
 39.053460090719554 39.047479881869975 39.050469986294765
 39.038509568595614 39.03701451638322 39.02206399425929 None]","[-81.72734836249717 -81.68698195276255 -81.673526482851 -81.66605122178905
 -81.65110069966511 -81.631665020904 -81.62269470762963 -81.60923923771809
 -81.58232829789502 -81.57933819347022 -81.54794209700997
 -81.5165460005497 -81.4941202173638 -81.48664495630183 -81.46122906869114
 -81.44179338993003 -81.44029833771764 -81.42833792001849
 -81.40740718904499 -81.39395171913344 -81.3804962492219
 -81.35358530939882 -81.32966447400052 -81.30424858638985 -81.26687228108
 -81.23547618461974 -81.19062461824794 -81.1786642005488 -81.1547433651505
 -81.14278294745135 -81.12633737311502 -81.1098917987787
 -81.10241653771673 -81.07849570231843 -81.06055507576971
 -81.04410950143338 -81.01271340497313 -80.99776288284919
 -80.99178267399962 -80.97832720408807 -80.96188162975174
 -80.95141626426499 -80.93796079435346 -80.90955480231798
 -80.89011912355687 -80.87516860143293 -80.8617131315214
 -80.84227745276029 -80.8153665129372 -80.80490114745045
 -80.78247536426454 -80.76154463329104 -80.75556442444146
 -80.7241683279812 -80.71818811913163 -80.69725738815812
 -80.67333655275982 -80.65091076957393 -80.64343550851196
 -80.61951467311366 -80.61652456868887 -80.60306909877734
 -80.58363342001623 -80.50589070497176 -80.49094018284784
 -80.46701934744954 -80.44907872090081 -80.42814798992731 None]",1306.0,62.83870967741935
50758,Secondary Highway,338,1,0,[38.93834107036526 38.94282622700244 None],[-81.76173456338222 -81.75724940674503 None],4894.0,1116.5806451612902
50759,Secondary Highway,340,9,0,"[39.19100489425974 39.21193562523325 39.217915834082824 39.23735151284394
 39.26575750487941 None]","[-77.91945037753119 -77.91347016868161 -77.90599490761964
 -77.90001469877006 -77.87160870673459 None]",1260.0,7014.612903225807
50760,Secondary Highway,35,24,0,"[38.64979599337333 38.681192089833594 38.71707334293104 38.7484694393913
 38.76341996151523 38.779865535851556 38.80079626682507 38.81275668452421
 None]","[-81.9710418731173 -81.96506166426772 -81.9680517686925 -81.98300229081644
 -81.99944786515277 -82.04130932709978 -82.07868563240962
 -82.10858667665748 None]",1574.0,1777.0967741935483
50761,Secondary Highway,35,34,0,"[38.64979599337333 38.63036031461222 38.601954322576745 38.57952853939084
 38.53617202523144 38.522716555319896 38.52570665974468 38.53617202523144
 38.53318192080665 38.513746242045535 38.48085509337288 38.46889467567373
 38.45842931018698 38.44796394470023 None]","[-81.9710418731173 -81.98001218639166 -82.00393302178995
 -82.00094291736517 -81.947121037719 -81.9232002023207 -81.90824968019677
 -81.88731894922327 -81.86937832267455 -81.85442780055061
 -81.83947727842667 -81.82901191293992 -81.82901191293992
 -81.84844759170103 None]",1574.0,1777.0967741935483
50762,Secondary Highway,50,95,0,"[39.27921297479095 39.28070802700335 39.28967834027771 39.30163875797685
 39.30313381018925 39.310609071251214 39.321074436737966 39.33004475001233
 39.336024958861906 39.35247053319823 39.344995272136266 39.34798537656105
 39.34200516771148 39.34200516771148 39.344995272136266 39.331539802224725
 39.328549697799936 39.333034854437116 39.333034854437116
 39.33901506328669 39.328549697799936 39.33004475001233 39.32555959337515
 39.331539802224725 39.33452990664951 39.32555959337515 39.33452990664951
 39.321074436737966 39.318084332313184 39.32555959337515
 39.307618966826425 39.2911733924901 39.30163875797685 39.310609071251214
 39.32555959337515 39.328549697799936 39.318084332313184 None]","[-80.28462297753754 -80.25920708992686 -80.24276151559053
 -80.1814643748824 -80.1590385916965 -80.15006827842214 -80.11867218196187
 -80.10970186868751 -80.06335525010331 -80.04989978019178
 -80.0229888403687 -80.00803831824476 -79.99607790054561
 -79.96019664744817 -79.93926591647467 -79.9317906554127
 -79.91235497665159 -79.89889950674005 -79.86750341027978
 -79.85853309700542 -79.8435825748815 -79.82115679169559
 -79.80321616514686 -79.79275079966011 -79.77032501647422
 -79.7493942855007 -79.73593881558917 -79.71650313682805
 -79.69258230142975 -79.66866146603147 -79.6372653695712
 -79.63427526514641 -79.59839401204897 -79.59241380319939
 -79.55055234125238 -79.51018593151777 -79.48626509611947 None]",1225.0,10141.125
